firstName,lastName,slotName,teamName
Dalvin,Cook,RB,Baltimore Ravens
Nelson,Agholor,WR,Baltimore Ravens
Deonte,Harty,WR,Baltimore Ravens
Josh,Johnson,QB,Baltimore Ravens
Tylan,Wallace,WR,Baltimore Ravens
Charlie,Kolar,TE,Baltimore Ravens
Devin,Leary,QB,Baltimore Ravens
Malik,Cunningham,QB,Baltimore Ravens
Sean,Ryan,WR,Baltimore Ravens
DeAngelo,Hardy,WR,Baltimore Ravens
Chris,Collier,RB,Baltimore Ravens
Tayvion,Robinson,WR,Baltimore Ravens
Emory,Jones,QB,Baltimore Ravens
Scotty,Washington,TE,Baltimore Ravens
Isaiah,Washington,WR,Baltimore Ravens
Joe,Evans,TE,Baltimore Ravens
Dayton,Wade,WR,Baltimore Ravens
Patrick,Ricard,RB,Baltimore Ravens
Owen,Wright,RB,Baltimore Ravens
Josh,Allen,QB,Buffalo Bills
Dalton,Kincaid,TE,Buffalo Bills
James,Cook,RB,Buffalo Bills
Keon,Coleman,WR,Buffalo Bills
Curtis,Samuel,WR,Buffalo Bills
Khalil,Shakir,WR,Buffalo Bills
Ray,Davis,RB,Buffalo Bills
Dawson,Knox,TE,Buffalo Bills
Marquez,Valdes-Scantling,WR,Buffalo Bills
Frank,Gore Jr.,RB,Buffalo Bills
Mack,Hollins,WR,Buffalo Bills
Ty,Johnson,RB,Buffalo Bills
Quintin,Morris,TE,Buffalo Bills
KJ,Hamler,WR,Buffalo Bills
Mitchell,Trubisky,QB,Buffalo Bills
Darrynton,Evans,RB,Buffalo Bills
Shane,Buechele,QB,Buffalo Bills
Reggie,Gilliam,RB,Buffalo Bills
Gunnar,Watson,QB,Buffalo Bills
Tre',McKitty,TE,Buffalo Bills
Andy,Isabella,WR,Buffalo Bills
Lawrence,Keys,WR,Buffalo Bills
Latavius,Murray,RB,Buffalo Bills
Zach,Davidson,TE,Buffalo Bills
Bryan,Thompson,WR,Buffalo Bills
Justin,Shorter,WR,Buffalo Bills
Tyrell,Shavers,WR,Buffalo Bills
Diontae,Johnson,WR,Carolina Panthers
Jonathon,Brooks,RB,Carolina Panthers
Xavier,Legette,WR,Carolina Panthers
Adam,Thielen,WR,Carolina Panthers
Chuba,Hubbard,RB,Carolina Panthers
Bryce,Young,QB,Carolina Panthers
Ja'Tavion,Sanders,TE,Carolina Panthers
Miles,Sanders,RB,Carolina Panthers
Jonathan,Mingo,WR,Carolina Panthers
Jalen,Coker,WR,Carolina Panthers
Tommy,Tremble,TE,Carolina Panthers
Rashaad,Penny,RB,Carolina Panthers
Jaden,Shirden,RB,Carolina Panthers
David,Moore,WR,Carolina Panthers
Raheem,Blackshear,RB,Carolina Panthers
Andy,Dalton,QB,Carolina Panthers
Ian,Thomas,TE,Carolina Panthers
Terrace,Marshall Jr.,WR,Carolina Panthers
Spencer,Brown,RB,Carolina Panthers
Mike,Strachan,WR,Carolina Panthers
Chris,Pierce,TE,Carolina Panthers
Jack,Plummer,QB,Carolina Panthers
Derek,Wright,WR,Carolina Panthers
Ihmir,Smith-Marsette,WR,Carolina Panthers
Jalen,Camp,WR,Carolina Panthers
Mike,Boone,RB,Carolina Panthers
Cam,Sims,WR,Carolina Panthers
Sam,Pinckney,WR,Carolina Panthers
Jordan,Matthews,TE,Carolina Panthers
Tarik,Cohen,RB,Carolina Panthers
Stephen,Sullivan,TE,Carolina Panthers
DJ,Moore,WR,Chicago Bears
Keenan,Allen,WR,Chicago Bears
Rome,Odunze,WR,Chicago Bears
D'Andre,Swift,RB,Chicago Bears
Caleb,Williams,QB,Chicago Bears
Cole,Kmet,TE,Chicago Bears
Roschon,Johnson,RB,Chicago Bears
Khalil,Herbert,RB,Chicago Bears
Gerald,Everett,TE,Chicago Bears
Robert,Tonyan,TE,Chicago Bears
Tyler,Scott,WR,Chicago Bears
Tyson,Bagent,QB,Chicago Bears
Travis,Homer,RB,Chicago Bears
Marcedes,Lewis,TE,Chicago Bears
Collin,Johnson,WR,Chicago Bears
Khari,Blasingame,RB,Chicago Bears
Nsimba,Webster,WR,Chicago Bears
Dante,Pettis,WR,Chicago Bears
Brett,Rypien,QB,Chicago Bears
Stephen,Carlson,TE,Chicago Bears
Austin,Reed,QB,Chicago Bears
Velus,Jones Jr.,WR,Chicago Bears
Ja'Marr,Chase,WR,Cincinnati Bengals
Tee,Higgins,WR,Cincinnati Bengals
Joe,Burrow,QB,Cincinnati Bengals
Zack,Moss,RB,Cincinnati Bengals
Chase,Brown,RB,Cincinnati Bengals
Jermaine,Burton,WR,Cincinnati Bengals
Mike,Gesicki,TE,Cincinnati Bengals
Erick,All,TE,Cincinnati Bengals
Andrei,Iosivas,WR,Cincinnati Bengals
Jake,Browning,QB,Cincinnati Bengals
Tanner,McLachlan,TE,Cincinnati Bengals
Tanner,Hudson,TE,Cincinnati Bengals
Charlie,Jones,WR,Cincinnati Bengals
Trenton,Irwin,WR,Cincinnati Bengals
Chris,Evans,RB,Cincinnati Bengals
Drew,Sample,TE,Cincinnati Bengals
Demetric,Felton,RB,Cincinnati Bengals
Trayveon,Williams,RB,Cincinnati Bengals
Kendric,Pryor,WR,Cincinnati Bengals
Shedrick,Jackson,WR,Cincinnati Bengals
Rocky,Lombardi,QB,Cincinnati Bengals
Drew,Plitt,QB,Cincinnati Bengals
Stanley,Morgan,WR,Cincinnati Bengals
Kwamie,Lassiter,WR,Cincinnati Bengals
Logan,Woodside,QB,Cincinnati Bengals
Amari,Cooper,WR,Cleveland Browns
David,Njoku,TE,Cleveland Browns
Nick,Chubb,RB,Cleveland Browns
Jerry,Jeudy,WR,Cleveland Browns
Jerome,Ford,RB,Cleveland Browns
Deshaun,Watson,QB,Cleveland Browns
D'Onta,Foreman,RB,Cleveland Browns
Elijah,Moore,WR,Cleveland Browns
Cedric,Tillman,WR,Cleveland Browns
Dorian,Thompson-Robinson,QB,Cleveland Browns
Jamari,Thrash,WR,Cleveland Browns
Jameis,Winston,QB,Cleveland Browns
Kareem,Hunt,RB,Cleveland Browns
David,Bell,WR,Cleveland Browns
Pierre,Strong Jr.,RB,Cleveland Browns
Michael,Woods,WR,Cleveland Browns
Jordan,Akins,TE,Cleveland Browns
Tyler,Huntley,QB,Cleveland Browns
Nyheim,Hines,RB,Cleveland Browns
James,Proche,WR,Cleveland Browns
Jakeem,Grant,WR,Cleveland Browns
Giovanni,Ricci,TE,Cleveland Browns
John,Kelly,RB,Cleveland Browns
Marquise,Goodwin,WR,Cleveland Browns
Zaire,Mitchell-Paden,TE,Cleveland Browns
P.J.,Walker,QB,Cleveland Browns
Jaelon,Darden,WR,Cleveland Browns
CeeDee,Lamb,WR,Dallas Cowboys
Jake,Ferguson,TE,Dallas Cowboys
Dak,Prescott,QB,Dallas Cowboys
Ezekiel,Elliott,RB,Dallas Cowboys
Brandin,Cooks,WR,Dallas Cowboys
Rico,Dowdle,RB,Dallas Cowboys
Jalen,Tolbert,WR,Dallas Cowboys
Deuce,Vaughn,RB,Dallas Cowboys
Ryan,Flournoy,WR,Dallas Cowboys
Royce,Freeman,RB,Dallas Cowboys
KaVontae,Turpin,WR,Dallas Cowboys
Luke,Schoonmaker,TE,Dallas Cowboys
Jalen,Cropper,WR,Dallas Cowboys
Trey,Lance,QB,Dallas Cowboys
Peyton,Hendershot,TE,Dallas Cowboys
Cooper,Rush,QB,Dallas Cowboys
Malik,Davis,RB,Dallas Cowboys
Snoop,Conner,RB,Dallas Cowboys
SaRodorick,Thompson,RB,Dallas Cowboys
Racey,McMath,WR,Dallas Cowboys
Princeton,Fant,TE,Dallas Cowboys
Brevyn,Spann-Ford,TE,Dallas Cowboys
John,Stephens,WR,Dallas Cowboys
Sean,McKeon,TE,Dallas Cowboys
Jalen,Brooks,WR,Dallas Cowboys
Hunter,Luepke,RB,Dallas Cowboys
David,Durden,WR,Dallas Cowboys
Courtland,Sutton,WR,Denver Broncos
Javonte,Williams,RB,Denver Broncos
Troy,Franklin,WR,Denver Broncos
Marvin,Mims Jr.,WR,Denver Broncos
Jaleel,McLaughlin,RB,Denver Broncos
Audric,Estime,RB,Denver Broncos
Bo,Nix,QB,Denver Broncos
Greg,Dulcich,TE,Denver Broncos
Josh,Reynolds,WR,Denver Broncos
Samaje,Perine,RB,Denver Broncos
Blake,Watson,RB,Denver Broncos
Jarrett,Stidham,QB,Denver Broncos
Tim,Patrick,WR,Denver Broncos
Devaughn,Vele,WR,Denver Broncos
Lil'Jordan,Humphrey,WR,Denver Broncos
Adam,Trautman,TE,Denver Broncos
Zach,Wilson,QB,Denver Broncos
Brandon,Johnson,WR,Denver Broncos
Lucas,Krull,TE,Denver Broncos
Nate,Adkins,TE,Denver Broncos
Dwayne,Washington,RB,Denver Broncos
Ben,DiNucci,QB,Denver Broncos
Phillip,Dorsett,WR,Denver Broncos
David,Sills,WR,Denver Broncos
Michael,Burton,RB,Denver Broncos
Johnny,Lumpkin,TE,Denver Broncos
Jalen,Virgil,WR,Denver Broncos
Michael,Bandy,WR,Denver Broncos
Tyler,Badie,RB,Denver Broncos
Amon-Ra,St. Brown,WR,Detroit Lions
Jahmyr,Gibbs,RB,Detroit Lions
Sam,LaPorta,TE,Detroit Lions
David,Montgomery,RB,Detroit Lions
Jameson,Williams,WR,Detroit Lions
Jared,Goff,QB,Detroit Lions
Kalif,Raymond,WR,Detroit Lions
Donovan,Peoples-Jones,WR,Detroit Lions
Sione,Vaki,RB,Detroit Lions
Brock,Wright,TE,Detroit Lions
Craig,Reynolds,RB,Detroit Lions
Antoine,Green,WR,Detroit Lions
Isaiah,Williams,WR,Detroit Lions
Hendon,Hooker,QB,Detroit Lions
Nate,Sudfeld,QB,Detroit Lions
Tom,Kennedy,WR,Detroit Lions
Anthony,Firkser,TE,Detroit Lions
Tre'Quan,Smith,WR,Detroit Lions
James,Mitchell,TE,Detroit Lions
Jake,Funk,RB,Detroit Lions
Shane,Zylstra,TE,Detroit Lions
Maurice,Alexander,WR,Detroit Lions
Jermar,Jefferson,RB,Detroit Lions
Zonovan,Knight,RB,Detroit Lions
Daurice,Fountain,WR,Detroit Lions
Josh,Jacobs,RB,Green Bay Packers
Jayden,Reed,WR,Green Bay Packers
Christian,Watson,WR,Green Bay Packers
Jordan,Love,QB,Green Bay Packers
Romeo,Doubs,WR,Green Bay Packers
Dontayvion,Wicks,WR,Green Bay Packers
MarShawn,Lloyd,RB,Green Bay Packers
Luke,Musgrave,TE,Green Bay Packers
Tucker,Kraft,TE,Green Bay Packers
AJ,Dillon,RB,Green Bay Packers
Bo,Melton,WR,Green Bay Packers
Malik,Heath,WR,Green Bay Packers
Sean,Clifford,QB,Green Bay Packers
Michael,Pratt,QB,Green Bay Packers
Emanuel,Wilson,RB,Green Bay Packers
Samori,Toure,WR,Green Bay Packers
Henry,Pearson,RB,Green Bay Packers
Grant,DuBose,WR,Green Bay Packers
Ellis,Merriweather,RB,Green Bay Packers
Thyrick,Pitts,WR,Green Bay Packers
Joel,Wilson,TE,Green Bay Packers
Tyler,Davis,TE,Green Bay Packers
Alex,McGough,QB,Green Bay Packers
Ben,Sims,TE,Green Bay Packers
Nico,Collins,WR,Houston Texans
Stefon,Diggs,WR,Houston Texans
Tank,Dell,WR,Houston Texans
C.J.,Stroud,QB,Houston Texans
Joe,Mixon,RB,Houston Texans
Dalton,Schultz,TE,Houston Texans
Dameon,Pierce,RB,Houston Texans
Noah,Brown,WR,Houston Texans
Jawhar,Jordan,RB,Houston Texans
Cade,Stover,TE,Houston Texans
John,Metchie III,WR,Houston Texans
Brevin,Jordan,TE,Houston Texans
Johnny,Johnson,WR,Houston Texans
Robert,Woods,WR,Houston Texans
Xavier,Hutchinson,WR,Houston Texans
Davis,Mills,QB,Houston Texans
Case,Keenum,QB,Houston Texans
Dalton,Keene,TE,Houston Texans
Jared,Wayne,WR,Houston Texans
Teagan,Quitoriano,TE,Houston Texans
Tim,Boyle,QB,Houston Texans
Jaxon,Janke,WR,Houston Texans
Steven,Sims,WR,Houston Texans
Gerrid,Doaks,RB,Houston Texans
Troy,Hairston,RB,Houston Texans
Andrew,Beck,RB,Houston Texans
J.J.,Taylor,RB,Houston Texans
Jadon,Janke,WR,Houston Texans
Jonathan,Taylor,RB,Indianapolis Colts
Michael,Pittman Jr.,WR,Indianapolis Colts
Anthony,Richardson,QB,Indianapolis Colts
Adonai,Mitchell,WR,Indianapolis Colts
Josh,Downs,WR,Indianapolis Colts
Jelani,Woods,TE,Indianapolis Colts
Evan,Hull,RB,Indianapolis Colts
Alec,Pierce,WR,Indianapolis Colts
Trey,Sermon,RB,Indianapolis Colts
Joe,Flacco,QB,Indianapolis Colts
Will,Mallory,TE,Indianapolis Colts
Kylen,Granson,TE,Indianapolis Colts
D.J.,Montgomery,WR,Indianapolis Colts
Mo,Alie-Cox,TE,Indianapolis Colts
Anthony,Gould,WR,Indianapolis Colts
Ashton,Dulin,WR,Indianapolis Colts
Sam,Ehlinger,QB,Indianapolis Colts
Ethan,Fernea,WR,Indianapolis Colts
Eric,Tomlinson,TE,Indianapolis Colts
Drew,Ogletree,TE,Indianapolis Colts
Kedon,Slovis,QB,Indianapolis Colts
Terrell,Bynum,WR,Indianapolis Colts
Jordan,Murray,TE,Indianapolis Colts
Tyler,Goodson,RB,Indianapolis Colts
Jaydon,Mickens,WR,Indianapolis Colts
Juwann,Winfree,WR,Indianapolis Colts
Tyrie,Cleveland,WR,Indianapolis Colts
Zavier,Scott,RB,Indianapolis Colts
Travis,Etienne Jr.,RB,Jacksonville Jaguars
Christian,Kirk,WR,Jacksonville Jaguars
Brian,Thomas Jr.,WR,Jacksonville Jaguars
Evan,Engram,TE,Jacksonville Jaguars
Trevor,Lawrence,QB,Jacksonville Jaguars
Gabe,Davis,WR,Jacksonville Jaguars
Tank,Bigsby,RB,Jacksonville Jaguars
D'Ernest,Johnson,RB,Jacksonville Jaguars
Parker,Washington,WR,Jacksonville Jaguars
Keilan,Robinson,RB,Jacksonville Jaguars
Brenton,Strange,TE,Jacksonville Jaguars
Devin,Duvernay,WR,Jacksonville Jaguars
Joshua,Cephus,WR,Jacksonville Jaguars
Tim,Jones,WR,Jacksonville Jaguars
Mac,Jones,QB,Jacksonville Jaguars
C.J.,Beathard,QB,Jacksonville Jaguars
Josiah,Deguara,TE,Jacksonville Jaguars
Lorenzo,Lingard,RB,Jacksonville Jaguars
Elijah,Cooks,WR,Jacksonville Jaguars
Seth,Williams,WR,Jacksonville Jaguars
Josh,Pederson,TE,Jacksonville Jaguars
Brevin,Easton,WR,Jacksonville Jaguars
Luke,Farrell,TE,Jacksonville Jaguars
Matt,Barkley,QB,Jacksonville Jaguars
Jamal,Agnew,WR,Jacksonville Jaguars
Jaylon,Moore,WR,Jacksonville Jaguars
Travis,Kelce,TE,Kansas City Chiefs
Patrick,Mahomes,QB,Kansas City Chiefs
Isiah,Pacheco,RB,Kansas City Chiefs
Xavier,Worthy,WR,Kansas City Chiefs
Marquise,Brown,WR,Kansas City Chiefs
Rashee,Rice,WR,Kansas City Chiefs
Clyde,Edwards-Helaire,RB,Kansas City Chiefs
Kadarius,Toney,WR,Kansas City Chiefs
Noah,Gray,TE,Kansas City Chiefs
Justyn,Ross,WR,Kansas City Chiefs
Jerick,McKinnon,RB,Kansas City Chiefs
Skyy,Moore,WR,Kansas City Chiefs
Justin,Watson,WR,Kansas City Chiefs
Jared,Wiley,TE,Kansas City Chiefs
Mecole,Hardman Jr.,WR,Kansas City Chiefs
Irv,Smith Jr.,TE,Kansas City Chiefs
Carson,Steele,RB,Kansas City Chiefs
Emani,Bailey,RB,Kansas City Chiefs
Deneric,Prince,RB,Kansas City Chiefs
Jody,Fortson,TE,Kansas City Chiefs
Carson,Wentz,QB,Kansas City Chiefs
Keaontay,Ingram,RB,Kansas City Chiefs
La'Mical,Perine,RB,Kansas City Chiefs
Montrell,Washington,WR,Kansas City Chiefs
Gerrit,Prince,TE,Kansas City Chiefs
Hassan,Hall,RB,Kansas City Chiefs
Anthony,Miller,WR,Kansas City Chiefs
Cornell,Powell,WR,Kansas City Chiefs
Jacob,Copeland,WR,Kansas City Chiefs
Izaiah,Gathings,TE,Kansas City Chiefs
Chris,Oladokun,QB,Kansas City Chiefs
Blake,Bell,TE,Kansas City Chiefs
Richie,James Jr.,WR,Kansas City Chiefs
Matt,Bushman,TE,Kansas City Chiefs
Ian,Book,QB,Kansas City Chiefs
Shi,Smith,WR,Kansas City Chiefs
Blaine,Gabbert,QB,Kansas City Chiefs
Davante,Adams,WR,Las Vegas Raiders
Zamir,White,RB,Las Vegas Raiders
Brock,Bowers,TE,Las Vegas Raiders
Jakobi,Meyers,WR,Las Vegas Raiders
Alexander,Mattison,RB,Las Vegas Raiders
Dylan,Laube,RB,Las Vegas Raiders
Gardner,Minshew II,QB,Las Vegas Raiders
Michael,Mayer,TE,Las Vegas Raiders
Aidan,O'Connell,QB,Las Vegas Raiders
Tre,Tucker,WR,Las Vegas Raiders
Harrison,Bryant,TE,Las Vegas Raiders
Ameer,Abdullah,RB,Las Vegas Raiders
Brittain,Brown,RB,Las Vegas Raiders
Cole,Fotheringham,TE,Las Vegas Raiders
Jakob,Johnson,RB,Las Vegas Raiders
Lideatrick,Griffin,WR,Las Vegas Raiders
Ramel,Keyton,WR,Las Vegas Raiders
Jesper,Horsted,TE,Las Vegas Raiders
DJ,Turner,WR,Las Vegas Raiders
John Samuel,Shenker,TE,Las Vegas Raiders
Anthony,Brown,QB,Las Vegas Raiders
Keelan,Cole,WR,Las Vegas Raiders
Carter,Bradley,QB,Las Vegas Raiders
Austin,Walter,RB,Las Vegas Raiders
Brandon,Bolden,RB,Las Vegas Raiders
Sincere,McCormick,RB,Las Vegas Raiders
Zach,Gentry,TE,Las Vegas Raiders
Kristian,Wilkerson,WR,Las Vegas Raiders
DeAndre,Carter,WR,Las Vegas Raiders
Tyreik,McAllister,RB,Las Vegas Raiders
Ladd,McConkey,WR,Los Angeles Chargers
Gus,Edwards,RB,Los Angeles Chargers
Joshua,Palmer,WR,Los Angeles Chargers
Justin,Herbert,QB,Los Angeles Chargers
Quentin,Johnston,WR,Los Angeles Chargers
Kimani,Vidal,RB,Los Angeles Chargers
J.K.,Dobbins,RB,Los Angeles Chargers
DJ,Chark Jr.,WR,Los Angeles Chargers
Brenden,Rice,WR,Los Angeles Chargers
Donald,Parham Jr.,TE,Los Angeles Chargers
Hayden,Hurst,TE,Los Angeles Chargers
Will,Dissly,TE,Los Angeles Chargers
Cornelius,Johnson,WR,Los Angeles Chargers
Isaiah,Spiller,RB,Los Angeles Chargers
Stone,Smartt,TE,Los Angeles Chargers
Derius,Davis,WR,Los Angeles Chargers
Jalen,Guyton,WR,Los Angeles Chargers
Elijah,Dotson,RB,Los Angeles Chargers
Easton,Stick,QB,Los Angeles Chargers
Alex,Erickson,WR,Los Angeles Chargers
Keelan,Doss,WR,Los Angeles Chargers
Hunter,Kampmoyer,TE,Los Angeles Chargers
Zach,Heins,TE,Los Angeles Chargers
Max,Duggan,QB,Los Angeles Chargers
Jaret,Patterson,RB,Los Angeles Chargers
Stephen,Anderson,TE,Los Angeles Chargers
Simi,Fehoko,WR,Los Angeles Chargers
Ben,Mason,RB,Los Angeles Chargers
Nick,Vannett,TE,Los Angeles Chargers
Joshua,Kelley,RB,Los Angeles Chargers
Puka,Nacua,WR,Los Angeles Rams
Kyren,Williams,RB,Los Angeles Rams
Cooper,Kupp,WR,Los Angeles Rams
Blake,Corum,RB,Los Angeles Rams
Matthew,Stafford,QB,Los Angeles Rams
Demarcus,Robinson,WR,Los Angeles Rams
Colby,Parkinson,TE,Los Angeles Rams
Davis,Allen,TE,Los Angeles Rams
Tutu,Atwell,WR,Los Angeles Rams
Tyler,Higbee,TE,Los Angeles Rams
Jordan,Whittington,WR,Los Angeles Rams
Ronnie,Rivers,RB,Los Angeles Rams
Ben,Skowronek,WR,Los Angeles Rams
Zach,Evans,RB,Los Angeles Rams
Jimmy,Garoppolo,QB,Los Angeles Rams
Stetson,Bennett,QB,Los Angeles Rams
Dresser,Winn,QB,Los Angeles Rams
Tyler,Johnson,WR,Los Angeles Rams
Miller,Forristall,TE,Los Angeles Rams
Hunter,Long,TE,Los Angeles Rams
Xavier,Smith,WR,Los Angeles Rams
Brycen,Hopkins,TE,Los Angeles Rams
Drake,Stoops,WR,Los Angeles Rams
Nikola,Kalinic,TE,Los Angeles Rams
Sam,Wiglusz,WR,Los Angeles Rams
Austin,Trammell,WR,Los Angeles Rams
Tyreek,Hill,WR,Miami Dolphins
De'Von,Achane,RB,Miami Dolphins
Jaylen,Waddle,WR,Miami Dolphins
Raheem,Mostert,RB,Miami Dolphins
Tua,Tagovailoa,QB,Miami Dolphins
Jaylen,Wright,RB,Miami Dolphins
Jonnu,Smith,TE,Miami Dolphins
Odell,Beckham Jr.,WR,Miami Dolphins
Malik,Washington,WR,Miami Dolphins
Chase,Claypool,WR,Miami Dolphins
Tahj,Washington,WR,Miami Dolphins
Durham,Smythe,TE,Miami Dolphins
Braxton,Berrios,WR,Miami Dolphins
Jeff,Wilson Jr.,RB,Miami Dolphins
Mike,White,QB,Miami Dolphins
Salvon,Ahmed,RB,Miami Dolphins
Skylar,Thompson,QB,Miami Dolphins
Alec,Ingold,RB,Miami Dolphins
Mathew,Sexton,WR,Miami Dolphins
Nick,Bowers,TE,Miami Dolphins
Freddie,Swain,WR,Miami Dolphins
Braylon,Sanders,WR,Miami Dolphins
Tyler,Kroft,TE,Miami Dolphins
Tanner,Conner,TE,Miami Dolphins
Anthony,Schwartz,WR,Miami Dolphins
River,Cracraft,WR,Miami Dolphins
Julian,Hill,TE,Miami Dolphins
Chris,Brooks,RB,Miami Dolphins
Erik,Ezukanma,WR,Miami Dolphins
Robbie,Chosen,WR,Miami Dolphins
Gavin,Hardison,QB,Miami Dolphins
Justin,Jefferson,WR,Minnesota Vikings
Jordan,Addison,WR,Minnesota Vikings
Aaron,Jones,RB,Minnesota Vikings
T.J.,Hockenson,TE,Minnesota Vikings
Ty,Chandler,RB,Minnesota Vikings
J.J.,McCarthy,QB,Minnesota Vikings
Sam,Darnold,QB,Minnesota Vikings
Brandon,Powell,WR,Minnesota Vikings
Josh,Oliver,TE,Minnesota Vikings
Cam,Akers,RB,Minnesota Vikings
Johnny,Mundt,TE,Minnesota Vikings
Trent,Sherfield,WR,Minnesota Vikings
DeWayne,McBride,RB,Minnesota Vikings
Jaren,Hall,QB,Minnesota Vikings
Nick,Mullens,QB,Minnesota Vikings
Kene,Nwangwu,RB,Minnesota Vikings
Myles,Gaskin,RB,Minnesota Vikings
Thayer,Thomas,WR,Minnesota Vikings
Jeshaun,Jones,WR,Minnesota Vikings
Malik,Knowles,WR,Minnesota Vikings
Nick,Muse,TE,Minnesota Vikings
N'Keal,Harry,WR,Minnesota Vikings
Trey,Knox,TE,Minnesota Vikings
C.J.,Ham,RB,Minnesota Vikings
Jalen,Nailor,WR,Minnesota Vikings
Troy,Fumagalli,TE,Minnesota Vikings
Daylen,Baldwin,WR,Minnesota Vikings
Trishton,Jackson,WR,Minnesota Vikings
Lucky,Jackson,WR,Minnesota Vikings
Rhamondre,Stevenson,RB,New England Patriots
Ja'Lynn,Polk,WR,New England Patriots
Hunter,Henry,TE,New England Patriots
Antonio,Gibson,RB,New England Patriots
Javon,Baker,WR,New England Patriots
DeMario,Douglas,WR,New England Patriots
Drake,Maye,QB,New England Patriots
Kendrick,Bourne,WR,New England Patriots
K.J.,Osborn,WR,New England Patriots
JuJu,Smith-Schuster,WR,New England Patriots
Jacoby,Brissett,QB,New England Patriots
Jaheim,Bell,TE,New England Patriots
Matt,Sokol,TE,New England Patriots
Kevin,Harris,RB,New England Patriots
Tyquan,Thornton,WR,New England Patriots
Kawaan,Baker,WR,New England Patriots
Kayshon,Boutte,WR,New England Patriots
Austin,Hooper,TE,New England Patriots
Jalen,Reagor,WR,New England Patriots
Bailey,Zappe,QB,New England Patriots
Joe,Milton,QB,New England Patriots
JaMycal,Hasty,RB,New England Patriots
Tre,Nixon,WR,New England Patriots
Mitchell,Wilcox,TE,New England Patriots
Nathan,Rourke,QB,New England Patriots
DeShaun,Fenwick,RB,New England Patriots
T.J.,Luther,WR,New England Patriots
Ke'Shawn,Vaughn,RB,New England Patriots
Jacob,Warren,TE,New England Patriots
La'Michael,Pettway,TE,New England Patriots
Chris,Olave,WR,New Orleans Saints
Alvin,Kamara,RB,New Orleans Saints
Rashid,Shaheed,WR,New Orleans Saints
Kendre,Miller,RB,New Orleans Saints
Juwan,Johnson,TE,New Orleans Saints
Derek,Carr,QB,New Orleans Saints
A.T.,Perry,WR,New Orleans Saints
Michael,Thomas,WR,New Orleans Saints
